Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
271324,Not Available,11.8
271325,12,11.1
271326,11.7,10.1
271327,Not Available,12
271328,Not Available,12.7
271330,Not Available,11.1
271332,13,15.3
271334,Not Available,12.4
271335,11.8,12.2
271336,12.4,14.8
271337,Not Available,10.8
271338,Not Available,12.9
271339,Not Available,Not Available
271340,13.2,12.3
271341,Not Available,12.6
271342,Not Available,Not Available
271343,11.3,14.6
271344,11.6,14.6
271345,12.1,11
271346,Not Available,Not Available
271347,11.9,12.4
280003,11.5,12
280009,14.2,15.6
280013,13.9,11.2
280020,11.7,12
280023,13.1,11.9
280030,11.8,12.6
280032,14.8,13.2
280040,11.1,12.4
280060,10.8,13.2
280061,13.3,12.3
280065,12.5,11.2
28006F,12.3,12.7
280077,10.6,13.3
280081,15.8,14.6
280105,12,11.8
280111,14.3,11.1
280125,14.3,11.2
280127,Not Available,Not Available
280128,9.5,Not Available
280129,Not Available,Not Available
280130,11.7,12.4
280131,Not Available,Not Available
280132,10.2,12.5
280133,Not Available,Not Available
281300,Not Available,11.6
281301,11.1,12.5
281302,Not Available,Not Available
281303,Not Available,Not Available
281304,12.3,12.5
281305,Not Available,11.2
281306,Not Available,Not Available
281307,Not Available,13.1
281308,Not Available,13.8
281309,Not Available,12.1
281310,Not Available,Not Available
281311,Not Available,12.4
281312,Not Available,Not Available
281313,Not Available,10.3
281314,13.3,12.7
281315,13,13.8
281316,Not Available,12.2
281317,Not Available,10.9
281318,Not Available,10.9
281319,13.8,9.7
281320,Not Available,16
281321,Not Available,13.8
281322,11.9,10.3
281323,Not Available,10.8
281324,Not Available,14.2
281325,Not Available,11.9
281326,Not Available,9.8
281327,Not Available,12.9
281328,11.7,11
281329,11.3,12.2
281330,Not Available,Not Available
281331,Not Available,12.3
281332,12.6,12.4
281333,Not Available,12.5
281334,11.4,13.1
281335,Not Available,11.2
281336,11.2,12.8
281338,Not Available,10.3
281339,13,10.8
281340,Not Available,15.7
281341,12.8,14.4
281342,Not Available,12.6
281343,Not Available,11.9
281344,Not Available,11.1
281345,13.4,12
281346,Not Available,12.4
281347,Not Available,12
281348,11.1,9.7
281349,13.6,12.8
281350,13.4,12.5
281351,Not Available,15.8
281352,13.2,11
281353,13,11.2
281354,11.5,11.6
281355,11.3,11.9
281356,Not Available,11.9
281357,10.2,13.2
281358,Not Available,10.9
281359,11.5,17.8
281360,11.2,9.5
281361,12.8,10.2
281362,14.7,10.2
281363,14.1,15.8
281364,12.4,15.5
281365,11.8,12.1
283301,Not Available,Not Available
290001,13.8,15.3
290002,Not Available,13.9
290003,9.7,15
290005,11.4,10.9
290006,12.1,12.9
290007,11.5,11.6
290008,12.9,12.5
290009,14.7,14.8
290012,11.7,14.8
290019,14.7,15.3
290020,Not Available,Not Available
290021,13.6,14.5
290022,13.5,13.7
29002F,10.8,11
290032,11.1,11.7
290039,9.6,10.7
290041,11.2,12.2
290045,11.8,13.6
290046,10.9,7.8
290047,10.4,10.9
290049,11.2,12.5
290051,Not Available,Not Available
290053,10.9,10.6
290054,11.3,13.4
291300,12.3,12.8
291301,Not Available,Not Available
291302,13.3,10.5
291303,Not Available,Not Available
291304,Not Available,Not Available
291306,11.8,14.4
291307,10.8,10.8
291308,Not Available,13.9
291309,Not Available,14.5
291311,10.6,10.8
291312,11.8,Not Available
300001,12,14.3
300003,11.2,13.4
300005,14.2,15.7
300011,13.1,12.4
300012,12.9,15.6
300014,10.7,10.7
300017,10.9,11.5
300018,10.9,10.8
300019,11.2,11.9
300020,11.5,10.8
300023,11.5,8.2
300029,11.2,12.2
300034,11.1,11.5
301300,11.1,14.5
301301,12.3,13.1
301302,13.9,14.8
301303,11.7,14.2
301304,12.9,14.6
301305,Not Available,10.6
301306,16.1,14.1
301307,13.8,13.9
301308,10.6,13.1
301309,12.5,14.6
301310,13,11.7
301311,10.7,11.7
301312,14.3,13.6
310001,9.8,9.7
310002,9.6,11.2
310003,8.5,11.7
310005,12.2,12.1
310006,11.8,14.1
310008,9.2,10.1
310009,10,10.7
310010,11.9,9.9
310011,10.1,9.6
310012,9,10.7
310014,10.9,11.7
310015,11.1,9.8
310016,12.5,13.8
310017,11.8,10.1
310019,10.9,13.1
31001F,11.8,13.7
310021,10.6,13.2
310022,10.8,10.6
310024,12.6,12.6
310025,11,12.9
310027,13.1,14
310028,10.9,10.2
310029,9,10
310031,8.9,13.4
310032,11.5,14.1
310034,11.7,9.8
310038,9.8,9.6
310039,10.5,9.7
310040,8.7,12.3
310041,11.4,9.2
310044,9.3,13.4
310045,9.6,8.9
310047,10.7,9.9
310048,14,12.7
310050,11.9,9.6
310051,12.1,10.5
310052,11.4,10.5
310054,10.4,10.6
310057,13.5,13.2
310058,13.1,16
310060,10.6,12.3
310061,9.6,11.3
310064,9.6,11.8
310069,10.2,11
310070,12.3,9.6
310073,8.3,9.8
310074,8.8,11.1
310075,10.8,10.1
310076,9.9,10.1
310081,11.3,11
310083,6.7,9.6
310084,10.5,9.5
310086,10.7,10.8
310091,10,12.2
310092,12.4,10.6
310096,8.1,13.1
310108,13.4,14.5
310110,11,13.5
310111,8.9,11.9
310112,10,11.5
310113,12.5,11.5
310115,10.5,10.1
310118,10,12.6
310119,11.7,9.9
310120,12.9,11.6
320001,13.2,16.9
320002,10.7,11.6
320003,11,11.7
320004,10.4,13.3
320005,15.6,12
320006,11.1,11.8
320009,11.8,12.2
320011,11,11.2
320013,10.9,11.6
320016,10.8,13.1
320017,10.9,13.5
320018,12.7,11
320021,11,12.6
320022,14,14
320030,10.7,10.2
320033,11.2,12.5
320038,10.9,10.4
320057,Not Available,Not Available
320058,Not Available,Not Available
320059,11.1,11.7
32005F,13.8,11.9
320060,Not Available,11.7
320061,11.4,11.2
320062,Not Available,10.4
320063,10.8,12.7
320065,12.2,12.4
320067,Not Available,Not Available
320070,Not Available,Not Available
320074,11.4,9.5
320084,14.6,13.7
320085,15,14.6
320086,9.1,13.2
321300,13,13.1
321301,10.6,13.6
321302,Not Available,13
321304,Not Available,12.1
321305,10.8,12
321306,11.4,14.2
321307,9.8,11.1
321308,13.4,13.6
330003,15.4,12.5
330004,12.9,12.2
330005,11.9,12.5
330006,10.9,10.9
330008,11.5,14
330009,10.3,10.5
330011,13.1,13.9
330013,10.7,10
330014,12,12.9
330019,10.3,11.9
330023,10.7,12.1
330024,9.2,9.2
330027,14.3,14.9
330028,10.9,13.5
330030,12.7,13.6
330033,10.9,13
330037,12.2,11.4
330043,12.8,13.5
330044,12.6,12
330045,10.8,11.2
330046,10.4,10.9
330047,10.6,13.3
330049,11.8,10.9
330053,14.4,12.5
330055,11.2,13
330056,10.8,13.7
330057,11.3,9.2
330058,15.1,13.5
330059,9.4,10.6
330061,11.6,14.4
330064,11.5,14.8
330065,13.1,10.1
330067,11.1,11.8
330073,14.3,12.2
330074,12.9,13.9
330078,9.9,9.5
330079,10.8,10.9
330080,10,15
330084,12.9,13.1
330085,12.3,12.8
330086,12,12.2
330088,11.1,12.2
330090,14.2,11.1
330094,12.6,11.4
330096,12.8,14.2
33009F,12.3,14.1
330100,Not Available,Not Available
330101,8,8.1
330102,11,13.7
330103,10.3,10.8
330104,11.4,12.4
330106,13.2,10.4
330107,11.6,12.7
330108,10.3,11.3
330111,11.4,12
330115,14.6,16
330119,8.1,11.6
33011F,13.1,11.7
330125,10,11.4
330126,9.9,11.5
330127,9.6,11.8
330128,14.2,11.4
33012F,12.1,13.7
330132,13.1,14.8
330135,10.4,9.9
330136,12.5,11.3
33013F,Not Available,Not Available
330140,12.2,10.1
330141,10,11.1
330144,11.9,13.4
330151,12,11.5
330153,11.8,12.8
330157,12.4,12.2
330158,9.4,10.5
33015F,9,11
330160,9.9,12.7
330162,11,9.2
330163,12.1,14.1
330164,14.8,14.1
330166,Not Available,Not Available
330167,11.2,12.3
330169,10.6,11.2
33016F,8.8,14
330175,10.4,10.1
330177,11.6,12
33017F,7.5,11.8
330180,11.8,11.5
330181,12.5,11.2
330182,10,10.8
330184,13.1,12.2
330185,10.9,10
330188,10,11.9
330191,9.9,10.4
330193,12.5,15.9
330194,7.5,7.4
330195,11.5,12.4
330196,10.2,10.1
330197,12.1,10.5
330198,10.6,11.8
330199,10.3,12.4
33019F,10.9,12.2
330201,7,10.3
330202,10.6,13.6
330203,12.4,13.9
330204,10.7,10.9
330205,9.8,9.8
330208,10.1,9.4
330211,10.5,12.4
330213,12.3,10.3
330214,7.1,7.7
330215,11.4,12
330218,12,13.5
330219,9.6,12.1
330221,9.5,10.9
330222,10.7,11.1
330223,14.7,15.7
330224,11.3,10.9
330225,12.8,12.3
330226,14.1,9.2
330229,10.2,11.6
330231,10.8,10.8
330232,12.5,13.1
330233,11.2,11.5
330234,10.2,12.1
330235,14.1,11.7
330236,10.2,10.4
330238,11.8,9.9
330239,11.4,11.9
330240,11.1,12.2
330241,12.7,12
330245,13.7,10.5
330246,8.8,13.2
330249,11.2,15.4
33024F,12.7,12.3
330250,10,11.1
330259,11.8,15.3
330261,13.6,12.3
330263,12.7,12.9
330264,9.6,11.9
330265,12.9,11.5
330267,11.6,10.8
330268,9.5,11
330270,Not Available,Not Available
330273,10.1,9.9
330276,14.5,13.3
330277,10.9,10.7
330279,11.2,12.1
330285,12.5,13.1
330286,9.6,12.6
330304,9.8,10.6
330306,10.9,10
330307,15.6,13.3
330316,9.2,13.5
330331,13.2,10.9
330332,10.8,11.3
330340,12.7,10.3
330350,9.8,11.5
330353,11.9,11.8
330372,12.2,11.7
330385,10.4,10.8
330386,11.9,11.4
330393,8.9,11.6
330394,15.5,13.7
330395,12,11.2
330396,9.6,12.1
330397,11.7,12.2
330399,9.4,13
330401,12.5,13.1
330403,Not Available,Not Available
330404,Not Available,Not Available
330405,Not Available,Not Available
330406,Not Available,Not Available
331301,Not Available,Not Available
331302,11.2,10.6
331303,Not Available,11
331304,Not Available,9.2
331305,10.5,12.6
331306,Not Available,13.6
331307,Not Available,11.4
331309,Not Available,10.6
331310,10,11.1
331311,11.3,15.3
331312,11.5,11.5
331313,12,12.5
331314,12.9,12.3
340001,11,10.3
340002,13.7,9.8
340003,8.9,9.8
340004,11.5,12.3
340008,12,11.8
340010,11.5,12.2
340011,12.7,12.9
340013,14.4,12.7
340014,10.9,12.5
340015,11,15
340016,12,10.7
340017,11.5,10.3
340020,11.3,16
340021,10.7,14.7
340023,12.9,12.9
340024,9.5,11.2
340027,10.4,12.9
340028,10.9,10.7
340030,12.2,11.1
340032,12.4,14.1
340036,12.2,14.8
340037,13.7,14.8
340039,9.9,14.4
340040,11.9,13.6
340041,12.8,11.3
340042,11.1,14.6
340047,11.8,14.1
340049,Not Available,Not Available
340050,8.6,10.9
340051,9.3,10
340053,12.2,13.6
340055,11.1,12.6
340060,11.3,11.7
340061,11.8,11.6
340064,13.1,11.7
340068,12.6,12.6
340069,10.2,12.6
340070,14.6,12.1
340071,9.2,8.6
340073,10.9,12.2
340075,9.9,10.8
340084,9.7,10
340085,11.4,15.4
340087,15.6,15.5
340090,9.8,14.4
340091,11.8,14.3
340096,10.7,11.8
340097,11.9,10.9
340098,12.1,10.7
340099,11.4,16.7
340106,10.6,12
340107,11.9,19.3
340109,12.4,12.9
340113,12.2,14.2
340114,9,8.1
340115,8.2,11.4
340116,12.6,14.9
340119,11.3,12.1
340120,12.6,14.8
340123,14.4,10.8
340126,11.8,14.7
340127,11.1,11.1
340129,11.2,13.2
34012F,12.6,11.4
340130,11.6,11.2
340131,11.8,13.7
340132,10.2,12.1
340133,9.1,13.8
34013F,10.4,13
340141,13.7,11.2
340142,11.9,14.9
340143,12,18.6
340144,11,11.1
340145,11.4,9.9
340147,11,12.5
340148,Not Available,Not Available
340151,9.9,14
340153,Not Available,Not Available
340155,13.3,13.5
340156,Not Available,10.9
340158,11.8,13.9
340159,11.9,12.7
340160,12,12.5
340166,14.6,11.9
340171,12.9,12.1
340173,9.7,11.6
34017F,11.4,12.7
340183,9.9,8.8
340184,11,13.4
340186,Not Available,Not Available
34036F,13.7,11
341302,Not Available,Not Available
341303,Not Available,10.4
341304,10.6,12.3
341305,13.3,13.3
341307,12,13.6
341308,Not Available,Not Available
341310,13.4,14.8
341311,12.3,12.8
341313,Not Available,13.5
341314,11.5,14.6
341315,13.1,16.9
341316,Not Available,10.3
341317,Not Available,11.1
341318,11.8,12.5
341319,13,12.5
341320,11,11.8
341321,Not Available,Not Available
341322,13.6,14
341323,11.3,11.2
341324,Not Available,15.2
341325,11.9,11.1
341326,12.2,13.2
341327,12.8,12.9
350002,12.8,10.1
350006,13.3,14.1
350011,11.5,11.1
350015,11.6,11.1
350019,12.2,13.1
35002F,9.7,10.7
350063,Not Available,12.1
350064,Not Available,Not Available
350070,10.1,11
351300,11,12.7
351301,Not Available,Not Available
351302,11.1,12.9
351303,Not Available,14.4
351304,Not Available,Not Available
351305,Not Available,Not Available
351307,Not Available,11.6
351308,Not Available,11.8
351309,11.6,12.7
351310,11.5,13
351311,12.5,10.9
351312,Not Available,10.6
351313,Not Available,14.6
351314,Not Available,12.9
351315,13.3,15.1
351316,Not Available,12.8
351318,11.9,9.4
351319,12,13
351320,Not Available,13.2
351321,12,11.5
351322,Not Available,10.5
351323,10.9,11.8
351324,11,8.9
351325,Not Available,10.5
351326,13.2,12.1
351327,9.4,10.4
351328,13.3,12.2
351329,Not Available,12.1
351330,10.3,9.8
351331,Not Available,11.6
351332,11.3,11.5
351333,11.9,12.4
351334,13,12.7
351335,13.2,12.6
351336,11.6,10.7
360001,10.5,11.9
360002,13,12.5
360003,10.3,11.1
360006,12.2,12.9
360008,11.6,11
360009,12.6,11.6
360010,9.4,12.5
360011,11.6,12.1
360012,12.6,12.6
360013,14.5,13
360014,13.4,12.3
360016,9.8,12.6
360017,10.9,13.5
360019,9.8,10.5
36001F,10.7,11.3
360020,12.9,12.9
360025,12.7,13.8
360026,10.7,13.5
360027,11.1,8.8
360029,13,14.6
360032,10.5,8.6
360035,13.5,14
360036,11.1,11.9
360037,9.5,9.8
360039,10.6,8.4
36003F,10.6,11.7
360040,15.2,12.4
360041,11.8,11.3
360044,11.2,11
360046,10.7,11.5
360048,10.7,10.1
360051,11.4,9
360052,9.6,10.9
360054,10.3,10.8
360055,9.4,9.9
360056,12.1,12.4
360058,13.1,11.1
360059,10.3,11.2
360064,10,11.7
360065,12.7,11
360066,14.7,14.5
360068,10.5,10.1
360070,10.8,10.8
360071,12.3,12.6
360072,13.9,10.7
360074,9.6,9.9
360075,10.8,10.8
360076,11.8,12.7
360077,7.9,10.5
360078,13.2,11.5
360079,13.7,12.3
36007F,10.9,11.6
360080,13.7,13.5
360081,10.8,10.3
360082,9.8,13.9
360084,12.6,10.5
360085,10,9.2
360086,12.5,14.3
360087,11.8,11.3
360089,11.7,11.4
36008F,10.3,10.4
360090,12.8,9.6
360091,12.8,11.6
360092,11.8,12.3
360095,14.4,13.9
360096,11.8,15.3
360098,10.9,10.5
360107,11.6,13.9
360109,16.3,18
360112,9.7,12.1
360113,10.8,11.5
360115,12.1,11.2
360116,10.6,11
360118,12.4,12.7
360121,12.9,15
360123,8.8,10.3
360125,9.2,11.6
360131,11.6,9.6
360132,10.2,12.9
360133,9.8,7.7
360134,10.5,11.3
360137,9.1,9.5
360141,10,10.9
360143,9.4,10.8
360144,8.9,10
360145,10.2,10.9
360147,11.4,12.2
360148,11,11.3
360150,13.5,12.3
360151,10.2,11.3
360152,10.8,12.3
360153,10.8,11.1
360155,10.7,9.7
360156,11.8,9.3
360159,11,12.3
360161,10.7,9.1
360163,9.8,9.5
360170,12.2,10.4
360172,11.6,10.5
360174,11.5,9.9
360175,13.6,12.3
360179,11.4,11.9
360180,9.2,12.1
360185,13.6,10.1
360189,13.5,13
360192,10.8,11.8
360195,11,11.7
360197,11.9,11.9
360203,11.8,12.9
360210,13.2,9.2
360211,10.5,12.3
360212,8.8,11.9
360218,11.6,13
360230,9.5,9.1
360234,12.6,14.7
360236,13.3,12
360239,12.7,9.6
360241,Not Available,Not Available
360242,Not Available,10.9
360245,Not Available,Not Available
360259,11.3,9.2
360261,Not Available,Not Available
360262,9.3,9.6
360263,Not Available,Not Available
360266,Not Available,Not Available
360270,11.3,14.9
360271,Not Available,Not Available
360274,Not Available,Not Available
360276,10.8,10.5
360347,Not Available,13
360348,11.6,11.4
360350,Not Available,Not Available
360351,Not Available,Not Available
360352,Not Available,Not Available
360354,11.6,10.8
360355,Not Available,Not Available
360358,Not Available,Not Available
360359,Not Available,Not Available
360360,Not Available,Not Available
361300,11,12.1
361301,Not Available,11.2
361302,13,12.3
361303,Not Available,Not Available
361305,Not Available,10.7
361306,12.4,10.6
361307,10.1,11
361308,12.1,10
361309,11,14.4
361310,12.3,11.4
361311,11.7,13.3
361312,12.5,9.5
361313,12.8,14.1
361314,11.9,11.2
361315,11,12.1
361316,12.2,15.9
361318,11.9,12.4
361319,11.1,17
361320,15.1,11.6
361321,10.4,10.3
361322,Not Available,11.1
361323,12.8,13.2
361324,12.1,10.5
361325,12,12.1
361326,11,13.8
361328,10.5,13.5
361329,11.3,14.6
361330,12.8,12.6
361331,11.4,14.3
361332,12.9,15.3
361333,14,11.9
361334,13.2,15.9
370001,12.1,11.1
370002,12.1,10.9
370004,11.6,13.2
370006,11.3,16.2
370007,11.1,11.9
370008,12.8,13.3
370011,10.5,13.1
370013,12.9,16.7
370014,9.4,8.5
370015,12.6,12.2
370016,13.1,13.9
370018,15.4,13.2
370019,11,11.1
370020,12.1,10.7
370022,11.9,11
370023,9.3,13
370025,12.7,12.4
370026,12.6,10.7
370028,13,13.1
370029,12,9
370030,12.2,13.6
370032,13.1,12.2
370034,13.9,12.5
370036,10.6,9.3
370037,12.8,12.6
370039,14,13.1
370040,11.6,12.9
370041,Not Available,11.1
370047,11.8,18.6
370048,10.9,11.2
370049,11.2,14.3
370051,9.9,9.9
370054,11.5,9.5
370056,11.4,14.3
370057,12.5,12.4
370065,11.3,12.3
370072,Not Available,10.1
370078,14,14.3
370080,12.5,10.8
370083,11.5,11.9
370089,10.5,11.9
370091,10.2,10
370093,10.8,11.7
370094,11,11.6
370097,12.8,12.2
370099,11.1,8.2
370100,12.4,11.5
370103,11,9.6
370106,11.5,9.9
370112,12.5,10.5
370113,16.2,16.6
370114,12.8,13.6
37012F,10.3,13.8
370138,12.8,11.2
370139,12.1,12.8
370149,13.9,14.2
37014F,12.5,13.5
370153,11.8,10.4
370156,11.1,9.1
370158,10.2,13.9
370166,12.1,11.1
370169,Not Available,Not Available
370170,Not Available,Not Available
370171,11,12.3
370172,Not Available,10.9
370173,Not Available,10.3
370178,11.3,12.9
370180,12,12.4
370183,11.3,14.8
370190,Not Available,Not Available
370192,Not Available,Not Available
370199,Not Available,Not Available
370201,Not Available,Not Available
370202,11.6,11.1
370203,Not Available,Not Available
370206,Not Available,Not Available
370210,Not Available,Not Available
370211,11.3,13.4
370212,Not Available,Not Available
370214,Not Available,Not Available
370215,10.8,10.4
370216,Not Available,Not Available
370218,10.4,13.9
370220,Not Available,Not Available
370222,Not Available,Not Available
370225,Not Available,Not Available
370227,10.8,10
370228,10.2,11.4
370229,11.2,12.9
370232,10.8,10.4
370233,Not Available,Not Available
370234,10.1,13.1
370235,Not Available,Not Available
370236,Not Available,Not Available
371300,11.8,11.8
371301,Not Available,12
371302,12.5,12.5
371303,Not Available,Not Available
371304,10.7,12.7
371305,Not Available,11.7
371306,11.4,13.8
371307,Not Available,Not Available
371309,Not Available,Not Available
371310,Not Available,11.5
371311,Not Available,10.9
371312,10.7,13.9
371313,10.7,12.1
371314,11.5,13.3
371316,13.5,11.9
371317,10.3,10.4
371318,Not Available,11.1
371319,10.4,11.8
371320,Not Available,10.4
371321,13.6,16.5
371322,Not Available,11.4
371323,14.6,13
371324,Not Available,11.8
371325,Not Available,11.6
371326,12.5,11.2
371327,Not Available,12.4
371328,13.2,15.3
371329,Not Available,11.6
371330,12.2,11.5
371331,Not Available,9.5
371332,Not Available,15.8
371333,Not Available,11
371334,11,12
371335,11.8,12.1
380001,13,10.2
380002,13.9,12.6
380004,11.5,11.5
380005,12,11.9
380007,11.7,9.7
380009,13.4,12.6
380014,13.1,10.4
380017,11.6,10.1
380018,13.3,11.9
380020,11.9,10.7
380021,13.4,14.3
380022,14,12.6
380025,11.8,11.6
380027,11.3,11.9
380029,12.8,10
380033,13.2,11.9
380037,12.7,9.5
380038,15.4,14.3
38003F,8.4,8.1
380040,13.2,9.8
380047,11.6,11.8
38004F,11.1,9.2
380050,13.7,14.1
380051,12.6,12.4
380052,13.3,10.2
380056,Not Available,12.2
380060,18.1,12.5
380061,12.2,11
380071,13.3,9.1
380075,11.8,15.4
380082,14.6,14.1
380089,13.1,14.1
380090,13.8,16.6
380091,Not Available,Not Available
380102,12.8,12.5
381301,11.3,10.1
381302,13.1,15.7
381303,11.8,13
381304,Not Available,13.9
381305,Not Available,12
381306,9.8,11.7
381307,11.4,11.4
381308,Not Available,Not Available
381309,11.9,12.5
381310,Not Available,11.7
381311,Not Available,13.8
381312,12.6,12.8
381313,12.1,12.4
381314,11.4,13.9
381315,13.7,12
381316,13.2,12.4
381317,12.4,12
381318,12.7,12.6
381319,11.6,13.5
381320,12,11.7
381321,11.2,13.7
381322,12.2,15.1
381323,13.5,13.3
381324,Not Available,14.2
381325,13.3,11.3
390001,11.6,9.9
390002,7.6,9.4
390003,10.7,8.4
390004,10.8,12.4
390006,15.3,11.4
390008,9.6,10.8
390009,9,11
390012,10.8,12.7
390013,12.4,13.4
390016,11,11.8
390019,9.8,13.3
39001F,11.7,11.7
390025,Not Available,Not Available
390026,11.7,13.7
390027,10.7,11.8
390028,10.1,12
390030,10.8,12.2
390031,13.8,12.5
390032,8.2,8.8
390035,12.3,11.8
390036,12.6,11.6
390037,10.5,13.3
390039,10.3,11
390041,10.3,15
390042,11.9,13.1
390043,13.7,14.6
390044,9.8,10.9
390045,11.6,10.7
390046,11.3,12.8
390048,12,12
390049,10.4,9.1
390050,10.1,12.8
390052,11.6,10
390056,11.4,12.1
390057,9.2,10.9
390058,12.5,15.9
39005F,10.9,11.1
390061,10.6,14.9
390062,12.2,11.7
390063,9.2,11.3
390065,10,9.2
390066,15.4,17.4
390067,13.3,15
390068,11.9,11
39006F,12.3,13.5
390070,12,12.6
390071,9.8,12.2
390072,15.9,12.6
390073,12.5,14.9
390076,10.9,9.8
390079,10.6,10.8
390080,10.2,10.2
390081,9.9,10.7
390084,16.5,14.3
390086,11.6,10.5
390090,10.5,11.5
390091,12.3,12.1
390093,16,15.8
390096,11.7,11.1
390097,10,9.9
39009F,7.4,11.9
390100,9.1,11.9
390101,11.8,10.6
390102,11.4,10.7
390104,9.9,7.8
390107,9.8,10.3
390108,12.9,12.1
390110,10,10.7
390111,11,9.2
390112,11.5,12.4
390113,14.2,14
390114,10,11.1
390115,12,12.2
390116,12,11
390117,11.4,10.1
390118,9.9,15.3
390119,11.3,14
390122,14,10.7
390123,12.8,17.5
390125,9.7,13.2
390127,10.4,15.2
39012F,11.5,13
390130,9.8,13.5
390132,10.8,10.2
390133,9.6,10.1
390137,15,14
390138,13.1,12.6
390139,9.1,10.1
39013F,10.7,12.8
390142,11.9,12
390145,10.5,12.8
390146,10.7,14
390147,11.1,12.1
390150,10.2,12.4
390151,9.7,9.6
390153,10.4,12.5
390154,11.8,9.9
390156,10.3,12.9
390157,10.2,15.4
390160,10.7,13.2
390162,9.4,11.2
390163,12.4,14.9
390164,10.6,10.1
390168,11,11.6
390173,11.6,9.9
390174,9.6,11.6
390178,8.9,10.3
390179,10.9,10.9
390180,11,13.6
390183,9.9,9.7
390184,11.4,10.9
390185,7.8,8.7
390192,11.4,12.2
390194,12.9,13.6
390195,8.3,10.9
390197,9.7,9.6
390198,13.4,13.2
390199,9.9,11.3
390201,11.6,10.7
390203,11.2,11.6
390204,12.1,12.3
390211,11.1,8.5
390217,8.8,9.9
390219,11.8,10.9
390220,11.2,12.2
390222,11.4,12.4
390223,8.8,10.9
390225,10.2,8.7
390226,10,8.9
390228,11.2,11
390231,9.6,11.2
390233,12.8,9.3
390236,13,13.4
390237,9.3,12.2
390256,12.7,13.6
390258,11.9,11.7
390263,9.7,8
390265,10.5,12.4
390266,11.7,13
390267,8.6,10.4
390268,10.9,12.6
390270,12.3,13.5
390272,Not Available,Not Available
390278,Not Available,Not Available
390290,8.9,11
390304,13.5,11
390307,Not Available,Not Available
390312,Not Available,Not Available
390314,Not Available,Not Available
390316,Not Available,Not Available
390318,Not Available,Not Available
390321,Not Available,Not Available
390322,Not Available,Not Available
390323,Not Available,Not Available
390324,Not Available,Not Available
390325,Not Available,Not Available
390326,Not Available,Not Available
390327,Not Available,Not Available
391300,11.4,13.1
391301,10.3,11.6
391302,11.4,13.1
391303,11.1,10.3
391304,Not Available,Not Available
391305,10.8,13.2
391306,14.3,16.5
391307,14.1,12.7
391308,13.4,12.4
391309,11.8,15.4
391311,10.2,11
391312,12.1,11.9
391313,11.1,13.5
393302,Not Available,Not Available
393303,Not Available,Not Available
400001,11,13.9
400003,Not Available,Not Available
400004,13.9,14.1
400005,11.4,13.2
400006,Not Available,14
400007,12.2,15
400009,Not Available,Not Available
400010,Not Available,Not Available
400011,Not Available,10.5
400012,Not Available,Not Available
400013,11,14.9
400014,11.3,13.6
400015,Not Available,Not Available
400016,12.5,14.5
400018,10.7,11.4
400019,12,17.1
400021,12.5,12
400022,13.9,11.7
400024,Not Available,Not Available
400026,Not Available,Not Available
400032,11.5,13.1
40003F,11.9,17.1
400044,9.7,15.6
400048,Not Available,Not Available
400061,Not Available,Not Available
400079,11.6,15.7
400087,13.4,16.4
400098,12.1,12.9
400102,Not Available,Not Available
400103,11.3,14.6
400104,Not Available,Not Available
400105,Not Available,Not Available
400106,12.1,17
400109,11.8,15.5
400110,11.2,14.2
400111,12,17.3
400112,10.6,16.5
400113,12.1,Not Available
400114,12.1,15.7
400115,Not Available,Not Available
400117,Not Available,13.2
400118,12.6,14.4
400120,12.6,12.3
400121,Not Available,12.8
400123,14.8,14
400124,12.9,Not Available
400125,11.4,13.5
400126,Not Available,Not Available
400127,Not Available,Not Available
400128,Not Available,14
400130,Not Available,Not Available
410001,12.8,12.8
410004,10.8,11.6
410005,11.9,14.6
410006,13.7,10
410007,10.8,11.3
410008,15.6,14.9
410009,11.3,10.4
410010,Not Available,Not Available
410011,12.9,14.8
410012,11.6,11.9
410013,10.1,12.5
41005F,11.7,14
420002,15.2,14.4
420004,11.8,14.3
420005,11.1,11.3
420007,10.7,9.9
420009,12.3,13
420010,12,9
420011,11.8,12.1
420015,15.2,13.1
420016,11.2,12.1
420018,11.4,12.8
420019,12.5,12.3
420020,11,10
420023,14.7,16
420026,10.2,13.9
420027,12.4,10.9
420030,10.7,11.3
420033,11.2,11.9
420036,11.9,13
420037,11.7,11.3
420038,11.8,17.7
420039,9.8,10.7
420043,10.9,13.6
420048,12.5,14.8
420049,12.2,11.2
420051,9.9,13.4
420053,13.3,15.1
420054,10,11.4
420055,13.5,12.7
420057,10.4,10.6
420062,13.9,12
420065,11.7,10.4
420066,11,11.9
420067,12.3,11.3
420068,11.5,12.2
420069,11,10.8
420070,10.6,12.3
420071,13.7,14.4
420072,13,14.1
420073,12.6,15.2
420078,12.6,13
420079,13.7,13.6
420080,13.9,12
420082,15.6,15.7
420083,11.6,14
420085,11.1,10.8
420086,9.5,13.3
420087,10.3,10.6
420089,12.8,11.6
420091,10.6,13.3
420098,12.1,14.4
420101,13.6,14.3
420102,Not Available,Not Available
420103,10.8,10.2
420104,Not Available,Not Available
420105,Not Available,Not Available
42011F,10,11.2
42029F,10.6,13.7
421300,Not Available,11.8
421301,11,11.3
421302,14.4,15.2
