DRG Definition,Provider Id,Provider Name,Provider City,Provider State,Average Covered Charges,Average Total Payments
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10059,LAWRENCE MEDICAL CENTER,MOULTON,AL,14820.42857,6278.571429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,13152.86047,5656.674419
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,8192.057143,5874.542857
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10065,RUSSELL HOSPITAL,ALEXANDER CITY,AL,13705.56522,5808.913043
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10066,FLORALA MEMORIAL HOSPITAL,FLORALA,AL,13320.08333,5479.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10069,MEDICAL CENTER BARBOUR,EUFAULA,AL,14000.17391,6058.26087
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10073,CLAY COUNTY HOSPITAL,ASHLAND,AL,12622.46429,5560
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,23911.74627,5544.19403
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10079,ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,12276.90909,6023.181818
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,46974.38961,5598.61039
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10085,DECATUR GENERAL HOSPITAL,DECATUR,AL,8626.204545,5609.772727
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,22096.93333,5242.653333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,25054.82432,5925.824324
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10090,PROVIDENCE HOSPITAL,MOBILE,AL,17334.29032,5197.290323
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,24504.9878,6176.469512
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,7605.769231,6549.692308
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,11527.51852,5369.037037
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10100,THOMAS HOSPITAL,FAIRHOPE,AL,16812.77273,4881.704545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,19302.06667,6571.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10103,BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,38077.17143,6620.885714
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10104,TRINITY MEDICAL CENTER,BIRMINGHAM,AL,41696.56897,5808.172414
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,27425.17308,5246.769231
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10109,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,13339.97727,8177.204545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10112,BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,11191.81481,5349.444444
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10113,MOBILE INFIRMARY,MOBILE,AL,26568.7931,6444.558621
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,18423.73333,5697.566667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,20197.07018,6890.175439
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,13511.09524,5613.785714
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,13559.39175,5646.742268
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10126,TROY REGIONAL MEDICAL CENTER,TROY,AL,16124.77778,5959.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10128,JACKSON MEDICAL CENTER,JACKSON,AL,7493.214286,5289.928571
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,15654.96552,6362.551724
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10130,ST VINCENT'S ST CLAIR,PELL CITY,AL,18565.88571,6323.971429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,29512.87692,5460.123077
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10139,BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,80879.27586,5404.155172
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,12336.31707,5170.878049
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10145,NORTHPORT MEDICAL CENTER,NORTHPORT,AL,18906.18182,7005.454545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10146,JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,AL,28420.2,5421.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,9406.321429,5466.571429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,24842.84783,6155.978261
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10150,L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,42605.68182,6263.090909
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10152,INFIRMARY WEST,MOBILE,AL,25060.42857,5758
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10157,SHOALS HOSPITAL,MUSCLE SHOALS,AL,23877.6,5211.066667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,18204.65686,5629.088235
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,28123.83333,5835.487179
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,18175.3913,5360.173913
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,30113.57813,8844.59375
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,32352.63235,10284.30882
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,24986.6087,11902.30435
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,24827.36667,13980.13333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,33906.61538,7938.307692
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,8332.619048,11650.45238
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,20208.85714,9430.257143
194 - SIMPLE PNEUMONIA & PLEURISY W CC,20026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,17245.33333,12713.55556
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,27485.14583,8035.520833
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30006,TUCSON MEDICAL CENTER,TUCSON,AZ,21657.66304,6953.554348
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,46712.25532,9040.234043
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30010,CARONDELET ST  MARYS HOSPITAL,TUCSON,AZ,22989.78049,6401.682927
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30011,CARONDELET ST JOSEPHS HOSPITAL,TUCSON,AZ,29055.79167,6076.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,27394.67188,7753.484375
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,25009.78866,7007.762887
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,PHOENIX,AZ,26928.3125,6573.625
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30016,CASA GRANDE REGIONAL MEDICAL CENTER,CASA GRANDE,AZ,24101.91935,6963.516129
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30022,MARICOPA MEDICAL CENTER,PHOENIX,AZ,24769.54545,11831.63636
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,31972.45588,10536.42647
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,29159.32,8925.56
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30030,PHOENIX BAPTIST HOSPITAL,PHOENIX,AZ,21123.42857,7299.571429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30036,CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,38291.24242,6616.444444
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30037,ST LUKES MEDICAL CENTER,PHOENIX,AZ,35654.44444,8903.055556
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,28349.4,6886.905882
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,SIERRA VISTA,AZ,25511.73611,8160.805556
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30055,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,AZ,23459.94,7550.25
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30061,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,31599.91667,5903.158333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,23018.03448,8455.517241
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",TUCSON,AZ,23695.58586,10261.06061
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30065,BANNER DESERT MEDICAL CENTER,MESA,AZ,25351,6761.016129
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30067,LA PAZ REGIONAL HOSPITAL,PARKER,AZ,20013.24138,9473.137931
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30068,MT GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,20780.21429,10066.71429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30069,HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CIT,AZ,27668.10417,6754
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,9217.714286,9035.97619
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,15982.2963,8622.666667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30078,PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,9957.2,12066.6
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30083,PARADISE VALLEY HOSPITAL,PHOENIX,AZ,22488.02273,6833.772727
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,8489.538462,8067
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30085,NORTHWEST MEDICAL CENTER,TUCSON,AZ,26958.10744,6075.46281
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,SCOTTSDALE,AZ,25418.75424,5900.771186
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30088,BANNER BAYWOOD MEDICAL CENTER,MESA,AZ,25807.84211,6060.488722
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30089,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,26330.09434,7031.04717
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,PHOENIX,AZ,25966.81818,6529.772727
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30093,BANNER DEL E WEBB MEDICAL CENTER,SUN CITY WEST,AZ,32892.11538,6452.125
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30094,ARROWHEAD HOSPITAL,GLENDALE,AZ,24439.87273,7086.345455
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30100,CARONDELET HEART AND VASCULAR INSTITUTE,TUCSON,AZ,28592.86667,5506.933333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,BULLHEAD CITY,AZ,74192.52273,7099.204545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30103,MAYO CLINIC HOSPITAL,PHOENIX,AZ,19434.57983,8063.563025
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30110,WEST VALLEY HOSPITAL,GOODYEAR,AZ,21266.64516,7137.032258
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30113,WHITERIVER PHS INDIAN HOSPITAL,WHITERIVER,AZ,8722.421053,9058.684211
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30114,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,27775.25581,5530.976744
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30115,BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,27108.71154,7037.153846
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30117,VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,AZ,34378.36111,6866.444444
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,PRESCOTT VALLEY,AZ,15957.33333,6671.027778
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30119,MERCY GILBERT MEDICAL CENTER,GILBERT,AZ,43654.92063,6687.190476
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30120,GILBERT HOSPITAL,GILBERT,AZ,21819.15,6438.675
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,35930.32432,7142.108108
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30122,BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,28515.17391,6686.043478
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,SCOTTSDALE,AZ,33984.94444,6078.638889
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30126,ARIZONA REGIONAL MEDICAL CENTER,MESA,AZ,21319.06897,6517.931034
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30128,HUALAPAI MOUNTAIN MEDICAL CENTER,KINGMAN,AZ,24920,5683.894737
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40001,SILOAM SPRINGS MEMORIAL HOSPITAL,SILOAM SPRINGS,AR,22842.63636,5904.515152
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40002,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,8009.135135,6183.945946
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,FAYETTEVILLE,AR,23678.27103,6105.71028
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40007,ST VINCENT INFIRMARY MEDICAL CENTER,LITTLE ROCK,AR,19743.94505,5893.230769
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40010,MERCY MEDICAL CENTER,ROGERS,AR,17674.68056,5364.291667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40011,"JOHN ED CHAMBERS MEM HOSP, INC",DANVILLE,AR,5392.322581,5245.129032
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40014,WHITE COUNTY MEDICAL CENTER,SEARCY,AR,16967.18788,5913.315152
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40015,MENA REGIONAL HEALTH SYSTEM,MENA,AR,14244,6205.480769
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40016,UAMS MEDICAL CENTER,LITTLE ROCK,AR,22424.31132,9243.40566
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,19201.01361,5787.816327
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40018,SUMMIT MEDICAL CENTER,VAN BUREN,AR,28126.51923,5224.326923
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40019,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,27202.58333,6165.666667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40020,ST BERNARDS MEDICAL CTR,JONESBORO,AR,8859.056075,6158.102804
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40022,"NW ARKANSAS HOSPITALS, LLC",SPRINGDALE,AR,25667.80645,5897.365591
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40026,ST JOSEPHS MERCY HEALTH CENTER INC,HOT SPRINGS,AR,23423.31757,5733.898649
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,11340.97541,5361.377049
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40029,CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,15307.52542,5559.330508
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE RO,AR,15699.92958,5503.366197
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40039,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,18283.64198,6167.925926
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40041,ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,21022.55556,5893.873016
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40042,CRITTENDEN MEMORIAL HOSPITAL,WEST MEMPHIS,AR,24911.68333,7230.116667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40047,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,10593.36735,5928.734694
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,13932.08333,5859.166667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40051,DREW MEMORIAL HOSPITAL,MONTICELLO,AR,9190.902778,5480.513889
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40055,SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,16006.18889,5744.866667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40062,ST EDWARD MERCY MEDICAL CENTER,FORT SMITH,AR,25401.56075,5475.943925
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40067,MAGNOLIA HOSPITAL,MAGNOLIA,AR,12081.05263,5836.026316
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40069,GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,17967.02857,7332.457143
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40071,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,22816.64286,6339.964286
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,12764.16667,6310.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40074,NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,16268.8,5200.275
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40076,HOT SPRING COUNTY MEDICAL CENTER,MALVERN,AR,17762.13333,5782.166667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40078,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,41771.51471,6061.044118
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40080,HARRIS HOSPITAL,NEWPORT,AR,37048.48148,5747.148148
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40084,SALINE MEMORIAL HOSPITAL,BENTON,AR,14991.19048,5517.904762
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40085,HELENA REGIONAL MEDICAL CENTER,HELENA,AR,28497.58333,7448.583333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40088,MEDICAL CENTER SOUTH ARKANSAS,EL DORADO,AR,32689.9,5982.32
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40091,MEDICAL PARK HOSPITAL,HOPE,AR,16745.09259,5809.148148
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,20139.39063,5951.59375
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40118,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,24998.05618,6072.089888
194 - SIMPLE PNEUMONIA & PLEURISY W CC,40119,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,22599.64198,6267.604938
